cliente_id,nome,data_nascimento,email
1,João Silva,1980-05-12,joao.silva@email.com
2,Maria Souza,1995-07-30,maria.souza@email.com
3,Pedro Santos,1990-01-15,pedro.santos@email.com
4,Ana Cláudia,1985-09-22,ana.claudia@email.com
5,Érico Oliveira,2000-03-10,erico.oliveira@email.com
6,Larissa Almeida,1992-12-05,larissa.almeida@email.com
7,Carlos Pereira,1975-11-20,carlos.pereira@email.com
8,Beatriz Costa,1988-06-17,beatriz.costa@email.com
9,Thiago Martins,1999-02-28,thiago.martins@email.com
10,Patrícia Ramos,1983-08-12,patricia.ramos@email.com
11,Fábio Nunes,1991-04-03,fabio.nunes@email.com
12,Renata Lima,1996-10-25,renata.lima@email.com
13,André Carvalho,1982-01-30,andre.carvalho@email.com
14,Carolina Fernandes,1998-07-07,carolina.fernandes@email.com
15,Rafael Gomes,1987-03-18,rafael.gomes@email.com
